card_layout,name,image,attribute_level,flavor_text,distinctive_features,position,might,endurance,parry,armour,weapons,fell_abilities,resolve,hate
./images/template/card_layout_front.png,Black Uruk,./images/advesaries/black_uruk.png,5,"Large and evil Orcs of great strength, picked from among the fiercest to act as lieutenants, bodyguards or chosen warriors, sent to reinforce a colony of lesser Orcs.","Fierce, Tall",front,,,,,,,,
./images/template/card_layout_front.png,Snaga Tracker,./images/advesaries/snaga_tracker.png,3,"A smaller breed gifted with wide, snuffling nostrils, able to catch the scent of enemies from a distance, even after a prolonged period of time has passed. Trackers are a weak and lazy lot, but quick and clever.","Swift, Keen-Eyed",front,,,,,,,,
./images/template/card_layout_front.png,Messenger Of Lugburz,./images/advesaries/messenger_of_lugburz.png,5,"An emissary of the Shadow, a Messenger of Lugbúrz is always on an errand for his Master, be it to spy upon Men, Elves or Dwarves, or to rouse all creatures with evil intent in an area.","Swift, Secretive",front,,,,,,,,
./images/template/card_layout_front.png,Orcs Of Mount Gram,./images/advesaries/orcs_of_mount_gram.png,3,"The Orcs of Mount Gram have a long memory of their defeat at the hands of Bullroarer Took and fiercely hate all Hobbits, relentlessly attacking a company that includes one.","Vicious, Stealthy",front,,,,,,,,
./images/template/card_layout_front.png,Goblins Of Carn Dum,./images/advesaries/goblins_of_carn_dum.png,2,"A small, vicious breed of Orcs still inhabit the ruins of Carn Dûm. There they hide, when they don’t prowl the land with war-bands led by warriors of the Hill-men of Rhudaur, who profit from the Goblins’ abilities as scouts and look-outs. The Goblins both hate and fear those who defeated their master, the Dúnedain and the High Elves of Rivendell.","Vicious, Stealthy",front,,,,,,,,
./images/template/card_layout_front.png,Orcs Of The White Mountains,./images/advesaries/orcs_of_the_white_mountains.png,3,"After their defeat in the Battle of Azanulbizar, countless Orcs fled south from the Misty Mountains. Many of these took refuge in the White Mountains, becoming a plague on the lands of the Mark until the last of them were finally hunted down and slain by Folca King in 2863. Yet in some hidden fortresses within the least accessible corners of the White Mountains Orcs remain, lean and hungry and kept warm against the cold by the hate burning within their breasts.","Bitter, Starving",front,,,,,,,,
./images/template/card_layout_front.png,Half-Orcs,./images/advesaries/half-orcs.png,6,"The more ill-favoured of Saruman’s creations are the Half-orcs, creatures whose ancestry cannot be disguised. Known also as Man-orcs, they are tall and ferocious, and are often dispatched to assault enemies defending behind an advantageous position, like a shield-wall formation for example, as their reach is longer than that of most Orcs.","Tall, Ferocious",front,,,,,,,,
./images/template/card_layout_front.png,Uruk-Hai Soldiers,./images/advesaries/uruk-hai_soldiers.png,6,"Large and heavily muscled with fearsome features, many of these slant-eyed Orcs serve Saruman the White. They are equipped in Isengard, and are clad in heavy iron mail and wield broad short swords. But the Uruk-hai are not crude and savage as other Orcs. They are clever monsters, sent to accomplish delicate missions whose objectives are known only to the mind who plotted them.","Clever, Swift",front,,,,,,,,
./images/template/card_layout_front.png,Uruk-Hai Captain,./images/advesaries/uruk-hai_captain.png,8,"As tall as Men and wielding terrible weaponry, the captains of the Uruk-hai know no mercy – even towards their own soldiers. They are keen-minded and brutally efficient, driving their ‘lads’ with a combination of cracking whips and promised pain for those who do not follow their orders. Those serving Saruman are unwaveringly loyal to the White Hand and are often the only Orcs in a given company who have any hint at the reasons behind a mysterious command from their master.","Cunning, Fierce",front,,,,,,,,
./images/template/card_layout_front.png,Goblin-Men,./images/advesaries/goblin-men.png,3,"Not obviously as Orc-like as the Half-orcs, Goblin-men are able to pass as individuals of a particularly foul appearance and temperament. They often work as spies and emissaries for their master in Orthanc, due to their ability to pass relatively unnoticed in civilised lands. From Bree to Gondor, they skulk in the shadows and listen to idle talk across Middle-earth before returning to Isengard.","Stealthy, Keen",front,,,,,,,,
./images/template/card_layout_front.png,Orcish Wolf-Riders,./images/advesaries/orcish_wolf-riders.png,4,"In his later schemes against Rohan, Saruman plans to employ companies of Orcs riding Wild Wolves to oppose the horse-riding Rohirrim. These fast riders are particularly suited as scouts and as plunderers, as they can strike swiftly and return.","Fierce, Swift",front,,,,,,,,
